	ID	Text	verfied	retweet_count	followers_count	url_count	photo_count	truncated	listed_count	statuses_count	user_created_at	hashtag_count	friends_count	user_url	Label
0	1241490299215634434	Official death toll from #covid19 in the United Kingdom is now GREATER than: Germany + Poland + Switzerland + Austria + Portugal + Greece + Sweden + Finland + Norway + Ireland... COMBINED. UK: 67.5 Million (233 dead) Above group: 185 Million (230 dead) HTTPURL	False	8	794	1	0	False	8	26007	2011	1	652	0	INFORMATIVE
1	1245916400981381130	Dearest Mr. President @USER 1,169 coronavirus deaths in the US in 24 hours (?) Covid19 pandemic is an international crime from China - not a nature disasster! Please use your authorities to protect your people and world against China! #ChinaHasToCompensateAll	False	1	18568	0	0	False	2	11030	2016	1	14365	0	INFORMATIVE
2	1241132432402849793	"Latest Updates March 20 ⚠️5274 new cases and 38 new deaths in the United States Illinois: Governo Pritzker issues ""stay at home"" order for all residents New York: Governor Cuomo orders 100% of all non-essential workers to stay home Penns...Source ( /coronavirus/country/us/ )"	False	1	10104	0	0	False	28	13332	2019	0	0	0	INFORMATIVE
3	1241490299215634434	Official death toll from #covid19 in the United Kingdom is now GREATER than: Germany + Poland + Switzerland + Austria + Portugal + Greece + Sweden + Finland + Norway + Ireland... COMBINED. UK: 67.5 Million (233 dead) Above group: 185 Million (230 dead) HTTPURL	False	2	6774	2	1	False	37	15058	2017	0	5703	0	INFORMATIVE
4	1239673817552879619	OKLAHOMA CITY — The State Department of Education announced Monday the closure of all K-12 public schools statewide until at least April 6 as the number of COVID-19 cases climb and the risk of community spread grows. HTTPURL	False	1	1259	1	0	False	54	23296	2011	0	161	1	UNINFORMATIVE
5	1240790181860409344	"Democrats somehow managed to fight ebola without calling it ""the African virus."" A cluster of COVID-19 cases has emerged in New York CIty's Hassidic neighborhood, so it's only a matter of time before the local Trump Klux Klan starts talking about ""the Jew virus."""	False	7	16247	0	0	False	223	20220	2011	0	10462	1	UNINFORMATIVE
6	1249147011003187200	as number of #COVID19 deaths surpassed 100,000 worldwide, NY surpassed Italy on number of recorded deaths 🔥😷🇺🇸 New York state has more coronavirus cases than any country worldwide HTTPURL	False	0	5963	1	0	False	368	77848	2007	1	6467	0	INFORMATIVE
7	1241533144802758656	@USER @USER 1 week ago today (March 14), there were only 115 cases of CoVid in FL. Today, last count was at 763... that is a 563% increase in 1 week due to your “slave to Trump” incompetence. Imagine next Saturday if there is another 563% increase-we will be at 9300+. Resign	False	0	3957	0	0	False	1	115430	2012	0	4356	0	INFORMATIVE
8	1236363091002011649	"“Coronavirus impact: Close Taj Mahal till March end, Agra Mayor urges” “people scared of foreigners and looked at them with suspicion, situation could turn nasty and tarnish India's image internationally,"" he said. Not possible to tarnish India further. HTTPURL"	False	17	25946	1	0	False	101	17907	2015	0	464	0	UNINFORMATIVE
9	1241490299215634434	Official death toll from #covid19 in the United Kingdom is now GREATER than: Germany + Poland + Switzerland + Austria + Portugal + Greece + Sweden + Finland + Norway + Ireland... COMBINED. UK: 67.5 Million (233 dead) Above group: 185 Million (230 dead) HTTPURL	False	0	618	0	1	False	87	131572	2015	3	4998	0	INFORMATIVE
